,date,search_term,interest
804,2022-05-08,double glazing,47
805,2022-05-15,double glazing,45
806,2022-05-22,double glazing,48
807,2022-05-29,double glazing,43
808,2022-06-05,double glazing,50
809,2022-06-12,double glazing,48
810,2022-06-19,double glazing,51
811,2022-06-26,double glazing,43
812,2022-07-03,double glazing,49
813,2022-07-10,double glazing,49
814,2022-07-17,double glazing,53
815,2022-07-24,double glazing,56
816,2022-07-31,double glazing,52
817,2022-08-07,double glazing,54
818,2022-08-14,double glazing,60
819,2022-08-21,double glazing,60
820,2022-08-28,double glazing,53
821,2022-09-04,double glazing,58
822,2022-09-11,double glazing,56
823,2022-09-18,double glazing,53
824,2022-09-25,double glazing,60
825,2022-10-02,double glazing,51
826,2022-10-09,double glazing,60
827,2022-10-16,double glazing,55
828,2022-10-23,double glazing,51
829,2022-10-30,double glazing,64
830,2019-09-01,triple glazing,47
831,2019-09-08,triple glazing,30
832,2019-09-15,triple glazing,24
833,2019-09-22,triple glazing,21
834,2019-09-29,triple glazing,45
835,2019-10-06,triple glazing,52
836,2019-10-13,triple glazing,28
837,2019-10-20,triple glazing,26
